DATE,ITEM,QUANTITY,DESCRIPTIONS,PAY METHOD,SALE,,,
6/23/2023,"BANANAS, PEARLS, TURTLES",1,"POTTED, SMALL",VENMO, $17.00 ,,,
7/3/2023,TURTLES,2,"POTTED, SMALL",CASH, $14.00 ,,,
7/20/2023,BANANAS,1,"POTTED, SMALL",CASH, $5.00 ,,,
7/20/2023,"PEARLS, TURTLES",1,"POTTED, SMALL",VENMO, $12.00 ,,,
8/21/2023,"TURTLES, SWISS CHEESE, PRAYER PLANT, PEARLS",4,"POTTED, SMALL, AND CUTTINGS",CASH, $22.00 ,,,
9/1/2023,"TURTLES, TURTLES, PEARLS",1,"POTTED, SMALL",CASH, $20.00 ,,,
9/2/2023,TURTLES,1,"POTTED, SMALL",VENMO, $7.00 ,,,
9/6/2023,"DOLPHINS, TEARS, WATERMELONS",1,"POTTED, SMALL",VENMO, $15.00 ,,,
9/9/2023,"PEARLS, PEARLS",1,"POTTED, SMALL",CASH, $10.00 ,,,
9/17/2023,GOLDFISH,1,"POTTED, SMALL",CASH, $5.00 ,,,
9/24/2023,SWISS CHEESE,2,CUTTING,VENMO, $10.00 ,,,
9/24/2023,SWISS CHEESE,1,CUTTING,VENMO, $8.00 ,,,
10/1/2023,TRADESCANTIA MIX,1,"POTTED, SMALL",VENMO, $5.00 ,,,
10/3/2023,SWISS CHEESE,2,"POTTED, SMALL",VENMO, $10.00 ,,,
10/4/2023,"SPOOKY CAULDRON POTHOS, SPOOKY PUMPKIN MONSTERA",1,"POTTED, SMALL",VENMO, $18.00 ,,,
10/4/2023,SPOOKY SKULL PEARLS,1,"POTTED, SMALL",CASH, $13.00 ,,,
10/5/2023,"SPOOKY SKULL TURTLES, SPOOKY CAULDRON TURTLES",1,"POTTED, SMALL",VENMO, $26.00 ,,,
10/6/2023,"SPOOKY SKULL V.PEARLS, SWISS CHEESE",4,"POTTED, SMALL, AND CUTTINGS",VENMO, $28.00 ,,,
10/7/2023,"NIGHT-BLOOMING JASMINE, NANOUK, FLORIDA GREEN CUTTING, SWISS CHEESE CUTTING",1,CUTTINGS,VENMO, $26.00 ,,,
10/9/2023,SPOOKY SKULL PEARLS,1,"POTTED, SMALL",VENMO, $13.00 ,,,
10/11/2023,SPOOKY SKULL PEARLS,1,"POTTED, SMALL",VENMO, $13.00 ,,,
10/27/2023,"TURTLES, MONSTERA PERU, BALTIC BLUE",1,"POTTED, MEDIUM, AND CUTTINGS",VENMO, $45.00 ,,,
10/28/2023,SWISS CHEESE ,2,CUTTINGS,VENMO, $15.00 ,,,
10/30/2023,"SPOOKY SKULL TEARS, SPOOKY PUMPKIN PEARLS",2,"POTTED, SMALL",VENMO, $20.00 ,,,
11/3/2023,SINGONIUM ALBO,1,CUTTING,VENMO, $15.00 ,,,
11/3/2023,SINGONIUM ALBO,1,CUTTING,CASH, $20.00 ,,,
11/3/2023,ALOCASIA STINGRAY,2,CORM,VENMO, $8.00 ,,,
11/4/2023,ALOCASIA STINGRAY,4,CORMS,VENMO, $21.00 ,,,
11/15/2023,SINGONIUM ALBO,1,CUTTING,VENMO, $25.00 ,,,
11/16/2023,"SINGONIUM ALBO, SWISS CHEESE",3,"CUTTING, AND CUTTINGS",VENMO, $29.00 ,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
